YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,32,22.6,18.5,20.55,95,5,90
2011,1,2,0,25.8,19,22.4,88,4,90
2011,1,3,0,26.2,20,23.1,87,2,0
2011,1,4,0,28.2,19.5,23.85,87,3,90
2011,1,5,3,28,20,24,84,2,180
2011,1,6,0,27,20,23.5,87,3,90
2011,1,7,7,28.8,20,24.4,89,5,40
2011,1,8,0,29,20,24.5,88,2,220
2011,1,9,0,28.7,20,24.35,84,2,90
2011,1,10,0,28,20.5,24.25,84,4,90
2011,1,11,0,27,23.1,25.05,87,1,0
2011,1,12,7,25.8,20.4,23.1,90,10,40
2011,1,13,8.2,24,21,22.5,92,5,90
2011,1,14,0,27.2,22.5,24.85,90,2,0
2011,1,15,32.5,26.4,20,23.2,97,8,40
2011,1,16,8,25.5,19.5,22.5,91,9,40
2011,1,17,2,24,19.5,21.75,89,3,90
2011,1,18,4.5,24,20,22,85,2,90
2011,1,19,3,26,19.5,22.75,90,5,90
2011,1,20,4.5,27,22,24.5,93,3,90
2011,1,21,-1,26.4,21,23.7,93,7,40
2011,1,22,7,25,21.2,23.1,90,6,90
2011,1,23,0,26.5,21.4,23.95,92,5,70
2011,1,24,0,27.8,22.4,25.1,88,4,90
2011,1,25,0,26.5,22,24.25,89,4,90
2011,1,26,0,28,20.5,24.25,88,5,90
2011,1,27,0,29,19.5,24.25,86,2,90
2011,1,28,0,28.8,21,24.9,87,2,90
2011,1,29,11,30.8,19.5,25.15,89,7,80
2011,1,30,2.5,27.6,20,23.8,93,10,40
2011,1,31,2,26.6,20,23.3,90,7,90
2011,2,1,0,24,18.5,21.25,81,3,90
2011,2,2,0,25.5,18.8,22.15,83,2,220
2011,2,3,0,28.5,21,24.75,86,3,90
2011,2,4,0,27.4,21,24.2,86,2,90
2011,2,5,4.5,26.8,21,23.9,89,5,90
2011,2,6,6,26.8,22.8,24.8,87,4,90
2011,2,7,1,27.1,21.5,24.3,73,3,90
2011,2,8,2,27,21.5,24.25,87,1,0
2011,2,9,0,28,24.2,26.1,84,3,90
2011,2,10,0,29.4,21.5,25.45,88,2,70
2011,2,11,6,27.4,21.5,24.45,89,8,40
2011,2,12,7,24,20,22,87,5,90
2011,2,13,0,24.2,20.5,22.35,84,1,180
2011,2,14,0,28.8,20,24.4,86,6,40
2011,2,15,0,27.8,21,24.4,88,8,90
2011,2,16,0,29,22,25.5,85,3,90
2011,2,17,0,31,22,26.5,83,2,180
2011,2,18,0,32.5,22,27.25,87,4,80
2011,2,19,0,31.2,22.5,26.85,84,3,40
2011,2,20,0,29.6,24,26.8,88,5,40
2011,2,21,2,29.3,23.5,26.4,85,4,70
2011,2,22,0,28.5,21,24.75,85,5,80
2011,2,23,0,29.4,23.5,26.45,89,3,90
2011,2,24,0,29.7,22.5,26.1,100,3,90
2011,2,25,0,29.8,22.6,26.2,90,4,90
2011,2,26,0,29.5,20.5,25,84,9,90
2011,2,27,0,28.8,22,25.4,85,1,180
2011,2,28,0.5,28,22.9,25.45,87,2,80
2011,3,1,0,30.4,21,25.7,84,4,90
2011,3,2,0,31,22.5,26.75,88,4,90
2011,3,3,24.4,28.8,20.5,24.65,87,5,40
2011,3,4,25,27.2,21.6,24.4,89,6,90
2011,3,5,0,25.4,21.6,23.5,88,3,90
2011,3,6,16,30.8,21.6,26.2,88,2,0
2011,3,7,2,31.2,22,26.6,82,6,80
2011,3,8,4.5,27,22,24.5,90,4,0
2011,3,9,0,27.7,22,24.85,88,4,90
2011,3,10,1,27.4,23,25.2,84,6,80
2011,3,11,0,28.5,23,25.75,91,4,80
2011,3,12,0,29.8,20,24.9,86,2,0
2011,3,13,0,32.5,22,27.25,84,3,40
2011,3,14,0,31.5,23,27.25,84,2,40
2011,3,15,0,33,21,27,91,6,40
2011,3,16,17,28.8,21,24.9,81,7,40
2011,3,17,1,27.2,21.5,24.35,85,6,40
2011,3,18,0,28.5,20.2,24.35,87,3,90
2011,3,19,0,29.4,24,26.7,84,3,80
2011,3,20,0,29.8,25,27.4,86,2,40
2011,3,21,0,32,26,29,85,2,20
2011,3,22,0,30.5,22,26.25,85,4,40
2011,3,23,7.5,30,22,26,94,9,40
2011,3,24,0,31,21.5,26.25,84,7,40
2011,3,25,0,28.8,23,25.9,87,4,40
2011,3,26,0,29.5,22,25.75,78,4,40
2011,3,27,0,31,24.3,27.65,83,5,80
2011,3,28,0,28.5,22.5,25.5,84,5,20
2011,3,29,35,25.8,22.3,24.05,94,9,40
2011,3,30,0,25.4,22.4,23.9,90,6,90
2011,3,31,0,26.5,22.3,24.4,87,8,80
2011,4,1,0,27.4,22.5,24.95,86,4,70
2011,4,2,0,29.2,21,25.1,84,3,40
2011,4,3,0,31.5,22.5,27,82,4,40
2011,4,4,0,32.2,22,27.1,81,2,40
2011,4,5,6,29.2,21,25.1,84,2,40
2011,4,6,0,31.5,22.6,27.05,81,3,40
2011,4,7,0,28.5,23.8,26.15,87,3,20
2011,4,8,1,28.8,24,26.4,87,4,20
2011,4,9,0,29.5,23,26.25,86,4,40
2011,4,10,0,28.4,23,25.7,78,3,40
2011,4,11,0,32.5,23,27.75,85,4,40
2011,4,12,0,32.8,23,27.9,84,3,40
2011,4,13,0,32.5,23,27.75,86,3,40
2011,4,14,0,33,23.5,28.25,78,2,0
2011,4,15,0,33.2,23,28.1,82,2,140
2011,4,16,0,34,22.5,28.25,80,3,360
2011,4,17,0,30.5,25,27.75,83,3,340
2011,4,18,0,30.8,24.8,27.8,82,4,360
2011,4,19,45,26.8,21.5,24.15,95,8,40
2011,4,20,0,28.5,22.5,25.5,88,5,40
2011,4,21,0,28.6,22,25.3,85,1,0
2011,4,22,0,31.6,21.5,26.55,82,1,40
2011,4,23,0,32.5,21.5,27,83,4,40
2011,4,24,0,28.8,22,25.4,86,5,40
2011,4,25,0,32.5,24.5,28.5,82,1,0
2011,4,26,0,34,26,30,83,2,40
2011,4,27,0,31.6,26.5,29.05,83,2,0
2011,4,28,0,30.8,26.9,28.85,84,3,40
2011,4,29,0,33.4,26.5,29.95,81,3,140
2011,4,30,0,33.2,27,30.1,80,3,180
2011,5,1,0,33.8,26.5,30.15,83,2,180
2011,5,2,0,34.2,25.5,29.85,85,2,0
2011,5,3,0,35.8,26,30.9,80,1,360
2011,5,4,0,35.5,27,31.25,80,1,0
2011,5,5,0,34.6,27,30.8,85,3,360
2011,5,6,0,34.4,28,31.2,82,3,40
2011,5,7,14,33.1,26.7,29.9,82,3,40
2011,5,8,12.5,29.6,26.5,28.05,89,5,80
2011,5,9,0,30.8,26,28.4,85,5,180
2011,5,10,3,31.2,26,28.6,84,1,180
2011,5,11,0,33.6,26.5,30.05,84,2,40
2011,5,12,0,34.2,27,30.6,83,2,360
2011,5,13,0,33.5,27,30.25,84,3,360
2011,5,14,0,33,26.8,29.9,87,2,0
2011,5,15,0,33.5,27.3,30.4,84,2,320
2011,5,16,0,32.8,27.8,30.3,84,3,320
2011,5,17,0,32.8,26.6,29.7,83,3,20
2011,5,18,0,33.4,25,29.2,87,4,180
2011,5,19,0,33.5,26,29.75,83,3,180
2011,5,20,0,32.7,25.5,29.1,85,3,180
2011,5,21,0,33.1,26,29.55,83,3,180
2011,5,22,0,32.5,26,29.25,82,3,180
2011,5,23,3,32.8,25,28.9,84,2,180
2011,5,24,0,32,26,29,85,2,40
2011,5,25,0,32.8,26,29.4,84,3,40
2011,5,26,50,32.5,24.5,28.5,82,4,360
2011,5,27,103,29.5,24,26.75,85,6,270
2011,5,28,0,31.5,25.5,28.5,88,4,320
2011,5,29,6.5,29.8,25.8,27.8,88,3,40
2011,5,30,0,32.4,27,29.7,85,3,40
2011,5,31,2,33.6,26,29.8,83,2,180
2011,6,1,0,34.8,27,30.9,81,2,180
2011,6,2,1,34.2,26.7,30.45,83,2,0
2011,6,3,0,34.5,26,30.25,80,2,360
2011,6,4,0,35.5,28.4,31.95,79,2,180
2011,6,5,0,35,26.4,30.7,77,3,360
2011,6,6,0,35,27,31,78,2,360
2011,6,7,0,34.8,27.5,31.15,80,2,180
2011,6,8,0,34.7,27,30.85,80,6,40
2011,6,9,3.5,33,26.5,29.75,82,3,140
2011,6,10,0,33.8,25,29.4,83,2,90
2011,6,11,5,34.5,26.2,30.35,83,2,140
2011,6,12,0,33.4,26,29.7,83,2,180
2011,6,13,0,34.6,26.5,30.55,79,3,40
2011,6,14,1,34.4,26.8,30.6,82,4,320
2011,6,15,0,34.6,26.3,30.45,79,3,160
2011,6,16,0,33.5,27,30.25,81,3,180
2011,6,17,1,35,27.2,31.1,79,2,180
2011,6,18,0,34.5,27,30.75,81,2,40
2011,6,19,31.5,32.7,26.5,29.6,86,2,180
2011,6,20,6.5,34,25,29.5,82,3,180
2011,6,21,0,34,26.1,30.05,82,2,180
2011,6,22,2.5,32.8,26.5,29.65,82,3,40
2011,6,23,26,29.8,25.5,27.65,83,4,290
2011,6,24,24,31.5,25.7,28.6,88,2,0
2011,6,25,0,29.7,25.6,27.65,87,5,180
2011,6,26,0,31.8,25.4,28.6,85,3,180
2011,6,27,0,33.4,26,29.7,84,2,160
2011,6,28,0,33.5,27,30.25,82,2,180
2011,6,29,0,34.4,28.4,31.4,80,1,40
2011,6,30,0,33,28.4,30.7,83,3,40
2011,7,1,0,33.8,26.4,30.1,80,2,180
2011,7,2,0,33.5,26.5,30,81,2,40
2011,7,3,0,33.8,26.6,30.2,82,2,40
2011,7,4,0,33.7,25,29.35,81,2,180
2011,7,5,0,33.8,27,30.4,83,3,180
2011,7,6,3.5,33.2,26.2,29.7,82,3,180
2011,7,7,0,32.8,26,29.4,83,2,180
2011,7,8,-1,32.6,26,29.3,84,3,180
2011,7,9,0,32.2,26.5,29.35,83,2,180
2011,7,10,5,32.8,25.3,29.05,83,1,0
2011,7,11,28,32,25,28.5,88,1,270
2011,7,12,8,31.5,25.5,28.5,84,2,180
2011,7,13,35,32.8,25.5,29.15,87,2,160
2011,7,14,0,34.1,26.1,30.1,84,3,270
2011,7,15,0,34,26.2,30.1,82,3,20
2011,7,16,0,33.1,26.3,29.7,83,2,0
2011,7,17,0,33.6,27,30.3,81,2,180
2011,7,18,0,33.5,27.2,30.35,79,3,180
2011,7,19,0,34,26.5,30.25,78,3,180
2011,7,20,0,34.8,27,30.9,79,1,0
2011,7,21,0,34.4,27.5,30.95,78,1,80
2011,7,22,0,34.3,27,30.65,81,3,180
2011,7,23,0,34.2,27,30.6,66,2,180
2011,7,24,0,33.4,26.8,30.1,83,3,360
2011,7,25,8,33.8,26.5,30.15,83,3,40
2011,7,26,0,33.8,26.4,30.1,84,4,40
2011,7,27,8.5,31.2,26.2,28.7,90,4,70
2011,7,28,0,33,26,29.5,84,2,0
2011,7,29,1.5,34.2,26.8,30.5,80,2,320
2011,7,30,39.5,33,25.3,29.15,87,3,220
2011,7,31,0,32.5,26.3,29.4,85,1,180
2011,8,1,35,33,25.7,29.35,85,1,0
2011,8,2,0,32.4,25.5,28.95,85,2,0
2011,8,3,0,33.2,27.4,30.3,84,3,320
2011,8,4,0,32,26.4,29.2,83,3,320
2011,8,5,0,33.4,26.8,30.1,84,3,180
2011,8,6,0,33.6,26.6,30.1,79,3,360
2011,8,7,9,34,26.4,30.2,82,2,180
2011,8,8,21.5,33.5,26.5,30,82,2,0
2011,8,9,3,34,26,30,84,2,180
2011,8,10,0,33,26,29.5,84,2,40
2011,8,11,0,33,27,30,81,2,40
2011,8,12,0,33.5,27,30.25,82,2,180
2011,8,13,0,33.4,27,30.2,83,2,140
2011,8,14,0,33.8,26.5,30.15,81,3,180
2011,8,15,0,34.3,27,30.65,81,2,0
2011,8,16,0,33.8,27,30.4,82,3,40
2011,8,17,0,33.7,27,30.35,80,2,40
2011,8,18,0,32.6,26.2,29.4,84,1,180
2011,8,19,0,32.8,26.3,29.55,84,1,0
2011,8,20,0,33,27,30,88,2,40
2011,8,21,0,34.4,27,30.7,82,2,0
2011,8,22,0,34.2,27,30.6,82,3,40
2011,8,23,0,32.6,26.6,29.6,84,3,220
2011,8,24,2,33.2,26.6,29.9,82,4,320
2011,8,25,23,33.2,26,29.6,85,5,360
2011,8,26,9,31.1,25.8,28.45,86,9,360
2011,8,27,32.5,32,24.5,28.25,89,9,180
2011,8,28,14,29,25,27,85,2,180
2011,8,29,0,32,25.2,28.6,80,2,180
2011,8,30,0,32,25.8,28.9,82,3,180
2011,8,31,0,31.6,26.8,29.2,81,1,0
2011,9,1,0,34.8,27,30.9,82,2,180
2011,9,2,0,33.4,26.6,30,84,2,180
2011,9,3,0,34.3,26.5,30.4,84,2,180
2011,9,4,0,31.3,27,29.15,82,3,40
2011,9,5,0,32.4,26.8,29.6,82,2,360
2011,9,6,21,32.5,26,29.25,80,3,360
2011,9,7,4.5,31.5,25.5,28.5,82,2,40
2011,9,8,0,31.2,26.8,29,83,2,360
2011,9,9,0,33,26.5,29.75,80,1,0
2011,9,10,0,32.2,26.6,29.4,81,2,40
2011,9,11,0,33.1,26.2,29.65,82,3,180
2011,9,12,0,32.8,25.6,29.2,85,3,180
2011,9,13,14,31.4,25.2,28.3,86,4,270
2011,9,14,0,31.2,25.5,28.35,84,4,270
2011,9,15,5,30.2,25,27.6,84,4,270
2011,9,16,0,32.8,26,29.4,85,2,40
2011,9,17,7.5,29.8,25.2,27.5,83,2,180
2011,9,18,0,30.4,26,28.2,85,1,180
2011,9,19,43,32.1,25,28.55,86,3,180
2011,9,20,0,31,25,28,86,2,360
2011,9,21,9.2,31.4,25,28.2,92,3,360
2011,9,22,4,30.8,26.2,28.5,86,2,220
2011,9,23,0,30.8,25,27.9,87,2,90
2011,9,24,49,32.8,25,28.9,83,2,220
2011,9,25,49,32.5,24,28.25,83,2,40
2011,9,26,28.5,30.2,25,27.6,85,8,40
2011,9,27,2,31.6,24.5,28.05,85,4,90
2011,9,28,0,30.5,26.4,28.45,84,2,180
2011,9,29,2,30.8,26,28.4,83,1,320
2011,9,30,31,29.8,25,27.4,86,4,320
2011,10,1,24,28.4,25.8,27.1,90,9,70
2011,10,2,0,30,26,28,86,3,90
2011,10,3,4,32.6,24,28.3,84,2,180
2011,10,4,0,32.6,26.8,29.7,83,2,180
2011,10,5,0,32.5,26.5,29.5,83,3,40
2011,10,6,8,31.5,25,28.25,83,2,0
2011,10,7,20,31.2,26,28.6,87,2,40
2011,10,8,28,31.2,26.8,29,83,1,40
2011,10,9,12,27.5,25.2,26.35,86,1,0
2011,10,10,0,31,25.8,28.4,87,2,40
2011,10,11,1,30.8,25.7,28.25,86,2,0
2011,10,12,0,31.5,26,28.75,84,3,80
2011,10,13,1,29.5,26,27.75,84,2,180
2011,10,14,0,31.8,26,28.9,84,2,180
2011,10,15,6.5,32.2,26,29.1,84,3,40
2011,10,16,34,31,24.9,27.95,86,3,180
2011,10,17,27,32.8,25,28.9,98,2,180
2011,10,18,10,31,25.2,28.1,86,6,360
2011,10,19,36,28.5,25,26.75,88,4,40
2011,10,20,1,29.4,25.2,27.3,84,1,0
2011,10,21,0,30.8,25.5,28.15,86,3,80
2011,10,22,0,30.8,26,28.4,85,3,40
2011,10,23,0,31.2,26,28.6,84,2,40
2011,10,24,0,31.5,26.2,28.85,84,2,40
2011,10,25,0,31.4,26,28.7,85,5,40
2011,10,26,0,30.8,25.7,28.25,83,4,40
2011,10,27,0,30,25.6,27.8,86,3,40
2011,10,28,0,30,25.5,27.75,85,5,40
2011,10,29,0,31.1,25.5,28.3,83,5,40
2011,10,30,123.5,30.2,24.5,27.35,84,3,40
2011,10,31,17,30.2,25,27.6,86,4,40
2011,11,1,10.5,-999,-999,-999,-999,-999,0
2011,11,2,0,-999,-999,-999,-999,-999,40
2011,11,3,0,-999,-999,-999,-999,-999,180
2011,11,4,15.5,-999,-999,-999,-999,-999,0
2011,11,5,0,-999,-999,-999,-999,-999,0
2011,11,6,77,-999,-999,-999,-999,-999,0
2011,11,7,0,-999,-999,-999,-999,-999,40
2011,11,8,0,-999,-999,-999,-999,-999,40
2011,11,9,0,-999,-999,-999,-999,-999,180
2011,11,10,0,-999,-999,-999,-999,-999,140
2011,11,11,0,-999,-999,-999,-999,-999,180
2011,11,12,0,-999,-999,-999,-999,-999,40
2011,11,13,0,-999,-999,-999,-999,-999,40
2011,11,14,6,-999,-999,-999,-999,-999,40
2011,11,15,69,-999,-999,-999,-999,-999,40
2011,11,16,23,-999,-999,-999,-999,-999,0
2011,11,17,1,-999,-999,-999,-999,-999,140
2011,11,18,0,-999,-999,-999,-999,-999,180
2011,11,19,0,-999,-999,-999,-999,-999,270
2011,11,20,16,-999,-999,-999,-999,-999,40
2011,11,21,1,-999,-999,-999,-999,-999,40
2011,11,22,0,-999,-999,-999,-999,-999,80
2011,11,23,7.5,-999,-999,-999,-999,-999,40
2011,11,24,56.5,-999,-999,-999,-999,-999,70
2011,11,25,10.5,-999,-999,-999,-999,-999,40
2011,11,26,0,-999,-999,-999,-999,-999,40
2011,11,27,55.5,-999,-999,-999,-999,-999,40
2011,11,28,3,-999,-999,-999,-999,-999,0
2011,11,29,0,-999,-999,-999,-999,-999,0
2011,11,30,0,-999,-999,-999,-999,-999,20
2011,12,1,32.5,-999,-999,-999,-999,-999,360
2011,12,2,138,-999,-999,-999,-999,-999,360
2011,12,3,37.5,-999,-999,-999,-999,-999,40
2011,12,4,60,-999,-999,-999,-999,-999,40
2011,12,5,0,-999,-999,-999,-999,-999,0
2011,12,6,0,-999,-999,-999,-999,-999,40
2011,12,7,0,-999,-999,-999,-999,-999,0
2011,12,8,0,-999,-999,-999,-999,-999,40
2011,12,9,48,-999,-999,-999,-999,-999,360
2011,12,10,99,-999,-999,-999,-999,-999,40
2011,12,11,47.5,-999,-999,-999,-999,-999,40
2011,12,12,0,-999,-999,-999,-999,-999,360
2011,12,13,0,-999,-999,-999,-999,-999,40
2011,12,14,5,-999,-999,-999,-999,-999,40
2011,12,15,0,-999,-999,-999,-999,-999,40
2011,12,16,16.5,-999,-999,-999,-999,-999,40
2011,12,17,5,-999,-999,-999,-999,-999,40
2011,12,18,22,-999,-999,-999,-999,-999,20
2011,12,19,14,-999,-999,-999,-999,-999,40
2011,12,20,48,-999,-999,-999,-999,-999,40
2011,12,21,5,-999,-999,-999,-999,-999,40
2011,12,22,5,-999,-999,-999,-999,-999,40
2011,12,23,9,-999,-999,-999,-999,-999,40
2011,12,24,0,-999,-999,-999,-999,-999,40
2011,12,25,0,-999,-999,-999,-999,-999,40
2011,12,26,0,-999,-999,-999,-999,-999,40
2011,12,27,1,-999,-999,-999,-999,-999,70
2011,12,28,1,-999,-999,-999,-999,-999,70
2011,12,29,0,-999,-999,-999,-999,-999,40
2011,12,30,2,-999,-999,-999,-999,-999,40
2011,12,31,0,-999,-999,-999,-999,-999,40
2012,1,1,2.5,26.4,21,23.7,88,7,40
2012,1,2,2,26.5,21.5,24,88,5,40
2012,1,3,0,26.7,22,24.35,84,3,70
2012,1,4,8,26.8,22,24.4,85,4,40
2012,1,5,0,27.5,22.5,25,86,2,80
2012,1,6,0,27.8,21.5,24.65,86,2,90
2012,1,7,3,26.8,22,24.4,87,6,360
2012,1,8,0,28,22,25,83,2,40
2012,1,9,0,28.9,23,25.95,87,2,40
2012,1,10,0,29,22.5,25.75,85,4,40
2012,1,11,42,28.5,21.5,25,87,7,40
2012,1,12,1.5,27.5,22.5,25,86,4,40
2012,1,13,2,27.8,21,24.4,85,2,70
2012,1,14,0,28.5,21.5,25,84,1,180
2012,1,15,0,29.5,22,25.75,84,2,180
2012,1,16,0,27.5,21.5,24.5,84,3,360
2012,1,17,1,28.7,22,25.35,84,2,220
2012,1,18,0,27.8,22.5,25.15,85,2,40
2012,1,19,0,30.9,22.5,26.7,85,3,220
2012,1,20,0,28.8,22.5,25.65,84,6,40
2012,1,21,0,29,22.5,25.75,83,3,40
2012,1,22,0,29.6,22,25.8,86,3,40
2012,1,23,1,28.5,22.5,25.5,85,4,40
2012,1,24,0,28.8,21.5,25.15,86,2,270
2012,1,25,0,28.1,23,25.55,84,4,40
2012,1,26,0,27,20.5,23.75,86,3,80
2012,1,27,0,29.2,22.5,25.85,85,3,180
2012,1,28,0,29.2,23.5,26.35,87,2,40
2012,1,29,0,29,25,27,84,3,360
